ID,count_00,count_01,count_02,count_03,count_04,count_05,count_06,count_07,count_08,count_09,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,sum,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17
BEN04_0023_t,0,0,0,0,0,523,804,63,0,0,0,41,0,0,0,0,0,0,1431,0,0,0,0,0,36.55,56.18,4.4,0,0,0,2.87,0,0,0,0,0,0
BEN04_0026_t,0,0,0,0,0,251,0,18,0,0,0,0,0,0,0,0,18,0,287,0,0,0,0,0,87.46,0,6.27,0,0,0,0,0,0,0,0,6.27,0
BEN04_0024_t,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
BEN04_0014_t,0,0,0,0,0,105,182,0,0,0,0,1,0,0,0,0,0,0,288,0,0,0,0,0,36.46,63.19,0,0,0,0,0.35,0,0,0,0,0,0
BEN04_0009_t,0,0,0,0,0,1457,99,0,0,0,0,0,0,0,0,0,27,0,1583,0,0,0,0,0,92.04,6.25,0,0,0,0,0,0,0,0,0,1.71,0
BEN04_0004_t,0,0,0,0,0,233,0,46,0,0,0,0,0,0,0,0,6,0,285,0,0,0,0,0,81.75,0,16.14,0,0,0,0,0,0,0,0,2.11,0
BEN04_0016_t,0,0,0,0,0,528,827,171,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,34.6,54.19,11.21,0,0,0,0,0,0,0,0,0,0
BEN04_0021_t,0,0,0,0,0,21,254,0,0,0,0,3,0,0,0,0,0,0,278,0,0,0,0,0,7.55,91.37,0,0,0,0,1.08,0,0,0,0,0,0
BEN04_0017_t,0,0,0,0,0,26,196,3,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,11.56,87.11,1.33,0,0,0,0,0,0,0,0,0,0
BEN05_0014_t,0,0,0,0,149,24,29,0,0,116,0,0,0,0,0,0,0,0,318,0,0,0,0,46.86,7.55,9.12,0,0,36.48,0,0,0,0,0,0,0,0
BEN05_0024_t,0,0,0,0,265,0,65,0,0,63,0,38,0,0,0,0,0,0,431,0,0,0,0,61.48,0,15.08,0,0,14.62,0,8.82,0,0,0,0,0,0
BEN05_0037_t,0,0,0,0,166,22,61,0,0,46,0,0,0,0,0,0,19,0,314,0,0,0,0,52.87,7.01,19.43,0,0,14.65,0,0,0,0,0,0,6.05,0
BEN05_0007_t,0,0,0,0,191,0,41,0,0,58,0,0,0,0,0,0,34,0,324,0,0,0,0,58.95,0,12.65,0,0,17.9,0,0,0,0,0,0,10.49,0
BEN05_0016_t,0,0,0,0,218,0,21,0,0,26,0,46,0,0,0,0,0,0,311,0,0,0,0,70.1,0,6.75,0,0,8.36,0,14.79,0,0,0,0,0,0
BEN05_0029_t,0,0,0,0,129,0,15,0,0,67,0,27,0,0,0,0,0,0,238,0,0,0,0,54.2,0,6.3,0,0,28.15,0,11.34,0,0,0,0,0,0
BEN05_0004_t,0,0,0,0,143,20,51,0,0,42,0,0,0,0,0,0,22,0,278,0,0,0,0,51.44,7.19,18.35,0,0,15.11,0,0,0,0,0,0,7.91,0
BEN05_0013_t,0,0,0,0,220,0,51,0,0,57,0,0,0,0,0,0,23,0,351,0,0,0,0,62.68,0,14.53,0,0,16.24,0,0,0,0,0,0,6.55,0
BEN05_0008_t,0,0,0,0,183,0,45,0,0,61,0,0,0,0,0,0,25,0,314,0,0,0,0,58.28,0,14.33,0,0,19.43,0,0,0,0,0,0,7.96,0
BEN05_0000_t,0,0,0,0,190,28,50,0,0,88,0,0,0,0,0,0,69,0,425,0,0,0,0,44.71,6.59,11.76,0,0,20.71,0,0,0,0,0,0,16.24,0
BEN05_0025_t,0,0,0,0,189,0,42,0,0,65,0,0,0,0,0,0,28,0,324,0,0,0,0,58.33,0,12.96,0,0,20.06,0,0,0,0,0,0,8.64,0
BEN05_0005_t,0,0,0,0,176,0,68,0,0,44,0,0,0,0,0,0,20,0,308,0,0,0,0,57.14,0,22.08,0,0,14.29,0,0,0,0,0,0,6.49,0
BEN05_0002_t,0,0,0,0,160,27,75,0,0,20,0,0,0,0,0,0,66,0,348,0,0,0,0,45.98,7.76,21.55,0,0,5.75,0,0,0,0,0,0,18.97,0
BEN05_0011_t,0,0,0,0,171,29,31,0,0,19,0,0,0,0,0,0,51,0,301,0,0,0,0,56.81,9.63,10.3,0,0,6.31,0,0,0,0,0,0,16.94,0
BEN05_0019_t,0,0,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,17.65,0,29.41,0,0,0,0,52.94,0,0,0,0,0,0
BEN05_0017_t,0,0,0,0,201,20,42,0,0,52,0,47,0,0,0,0,0,0,362,0,0,0,0,55.52,5.52,11.6,0,0,14.36,0,12.98,0,0,0,0,0,0
BEN05_0018_t,0,0,0,0,225,0,64,0,0,16,0,52,0,0,0,0,0,0,357,0,0,0,0,63.03,0,17.93,0,0,4.48,0,14.57,0,0,0,0,0,0
BEN05_0033_t,0,0,0,0,127,0,34,0,0,34,0,18,0,0,0,0,0,0,213,0,0,0,0,59.62,0,15.96,0,0,15.96,0,8.45,0,0,0,0,0,0
BEN05_0012_t,0,0,0,0,253,31,30,0,0,95,0,0,0,0,0,0,0,0,409,0,0,0,0,61.86,7.58,7.33,0,0,23.23,0,0,0,0,0,0,0,0
BEN05_0031_t,0,0,0,0,106,16,15,0,0,9,0,8,0,0,0,0,19,0,173,0,0,0,0,61.27,9.25,8.67,0,0,5.2,0,4.62,0,0,0,0,10.98,0
BEN05_0039_t,0,0,0,0,149,22,79,0,0,62,0,0,0,0,0,0,29,0,341,0,0,0,0,43.7,6.45,23.17,0,0,18.18,0,0,0,0,0,0,8.5,0
BEN05_0022_t,0,0,0,0,230,0,20,0,0,55,0,27,0,0,0,0,0,0,332,0,0,0,0,69.28,0,6.02,0,0,16.57,0,8.13,0,0,0,0,0,0
BEN05_0023_t,0,0,0,0,206,0,52,0,0,35,0,15,0,0,0,0,0,0,308,0,0,0,0,66.88,0,16.88,0,0,11.36,0,4.87,0,0,0,0,0,0
BEN05_0006_t,0,0,0,0,190,0,74,0,0,59,0,24,0,0,0,0,29,0,376,0,0,0,0,50.53,0,19.68,0,0,15.69,0,6.38,0,0,0,0,7.71,0
BEN05_0027_t,0,0,0,0,127,14,23,0,0,77,0,15,0,0,0,0,0,0,256,0,0,0,0,49.61,5.47,8.98,0,0,30.08,0,5.86,0,0,0,0,0,0
BEN05_0028_t,0,0,0,0,162,0,50,0,0,49,0,26,0,0,0,0,18,0,305,0,0,0,0,53.11,0,16.39,0,0,16.07,0,8.52,0,0,0,0,5.9,0
BEN05_0003_t,0,0,0,0,148,19,62,0,0,16,0,9,0,0,0,0,36,0,290,0,0,0,0,51.03,6.55,21.38,0,0,5.52,0,3.1,0,0,0,0,12.41,0
BEN05_0035_t,0,0,0,0,101,0,25,0,0,98,0,23,0,0,0,0,0,0,247,0,0,0,0,40.89,0,10.12,0,0,39.68,0,9.31,0,0,0,0,0,0
BEN05_0038_t,0,0,0,0,212,0,61,0,0,0,0,53,0,0,0,0,0,0,326,0,0,0,0,65.03,0,18.71,0,0,0,0,16.26,0,0,0,0,0,0
BEN05_0001_t,0,0,0,0,147,0,56,0,0,51,0,17,0,0,0,0,33,0,304,0,0,0,0,48.36,0,18.42,0,0,16.78,0,5.59,0,0,0,0,10.86,0
BEN05_0009_t,0,0,0,0,191,21,23,0,0,45,0,0,0,0,0,0,38,0,318,0,0,0,0,60.06,6.6,7.23,0,0,14.15,0,0,0,0,0,0,11.95,0
BEN05_0042_t,0,0,0,0,1346,0,271,0,0,261,0,134,0,0,0,0,0,0,2012,0,0,0,0,66.9,0,13.47,0,0,12.97,0,6.66,0,0,0,0,0,0
BEN05_0043_t,0,0,0,0,0,212,591,0,0,136,0,58,0,0,0,0,256,0,1253,0,0,0,0,0,16.92,47.17,0,0,10.85,0,4.63,0,0,0,0,20.43,0
