,P1,P2,P3,ID,class,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17,gt,hcluster_nonpca,hcluster_pca,kcluster_nonpca,kcluster_pca
294,-7.24185963093582,-1.1581484273987117,-16.085790150728666,GMBC07_0017_t,6.0,9.64,0.0,17.97,0.0,16.01,13.56,0.0,7.52,0.0,0.0,25.49,0.0,0.0,0.0,0.0,9.8,0.0,0.0,unclassified,1,0,2,6
295,-7.87247961881111,1.590512848295987,-15.172243874776559,GMBC07_0018_t,6.0,8.88,0.0,16.77,0.0,16.77,30.18,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,unclassified,6,0,1,6
296,-12.588359272733358,-2.498381730540879,-19.634125619522052,GMBC07_0019_t,6.0,18.91,0.0,27.09,0.0,11.93,12.95,0.0,6.81,0.0,0.0,16.52,0.0,0.0,0.0,0.0,5.79,0.0,0.0,unclassified,1,0,2,6
297,-24.192981678821756,-2.1487777722387307,-17.333655479252695,GMBC07_0020_t,6.0,23.88,0.0,21.71,0.0,0.0,19.38,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,13.64,0.0,12.09,unclassified,1,0,2,6
298,-24.576115384882165,-1.239001279527309,-20.20107511785459,GMBC07_0021_t,6.0,13.15,0.0,26.94,0.0,0.0,15.53,0.0,9.67,0.0,0.0,22.03,0.0,0.0,0.0,0.0,12.68,0.0,0.0,unclassified,1,0,2,6
299,-24.830172655033472,-2.0438355514234043,-19.23436856038191,GMBC07_0022_t,6.0,25.04,0.0,26.1,0.0,0.0,16.4,0.0,13.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,6.17,unclassified,1,0,2,6
300,-24.663934760373124,-6.168372484632044,-20.03047813978619,GMBC07_0023_t,6.0,9.07,0.0,34.72,0.0,0.0,0.0,0.0,31.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41,0.0,8.81,unclassified,1,5,2,6
301,-23.874983827209363,-6.384203302302281,-18.846298882996688,GMBC07_0024_t,6.0,19.72,0.0,29.89,0.0,0.0,0.0,0.0,15.81,0.0,0.0,12.68,0.0,0.0,0.0,0.0,14.55,0.0,7.36,unclassified,1,5,2,6
302,-25.0586992630851,-7.11082524420298,-22.098272793274855,GMBC07_0025_t,6.0,23.5,0.0,37.96,0.0,0.0,0.0,0.0,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,0.0,6.13,unclassified,1,5,2,6
303,-24.972223494029837,-1.6752702587099209,-19.134664058160407,GMBC07_0026_t,6.0,9.38,0.0,27.64,0.0,0.0,16.75,0.0,22.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.74,0.0,8.88,unclassified,1,0,2,6
304,-24.974975897082313,-1.160300174174287,-20.989596106313297,GMBC07_0027_t,6.0,14.38,0.0,28.76,0.0,0.0,16.34,0.0,12.42,0.0,0.0,13.4,0.0,0.0,0.0,0.0,14.71,0.0,0.0,unclassified,1,0,2,6
